100000000	3.141593	1290
100000000	3.141593	1226
100000000	3.141593	1257
100000000	3.141593	1295
100000000	3.141593	1085
100000000	3.141593	980
100000000	3.141593	4280
100000000	3.141593	1271
100000000	3.141593	912
100000000	3.141593	1268
100000000	3.141593	1263
100000000	3.141593	1268
100000000	3.141593	1268
100000000	3.141593	475
100000000	3.141593	1265
100000000	3.141593	1303
100000000	3.141593	1284
100000000	3.141593	1096
100000000	3.141593	1252
100000000	3.141593	909
100000000	3.141593	1280
