400	1556
400	756
400	716
400	714
400	744
400	760
400	728
400	720
400	732
400	6382
400	754
400	701
400	1002
400	737
400	743
400	728
400	763
400	907
400	20
400	704
800	1399
800	1205
800	1546
800	1432
800	1498
800	1404
800	1711
800	1479
800	1441
800	1760
800	1438
800	1452
800	1775
800	2038
800	2385
800	1348
800	1371
800	1717
800	1667
800	1443
1600	8665
1600	10309
1600	7538
1600	6744
1600	6922
1600	7577
1600	8563
1600	7255
1600	6253
1600	6919
1600	7870
1600	7619
1600	4487
1600	5337
1600	5039
1600	4301
1600	4845
1600	4841
1600	5338
1600	4978
3200	26478
3200	28314
3200	28165
3200	27971
3200	29347
3200	28117
3200	30635
3200	29330
3200	29830
3200	27865
3200	26707
3200	26152
3200	28414
3200	32156
3200	29382
3200	29209
3200	27275
3200	28703
3200	28280
3200	28700
4800	79652
4800	76105
4800	74017
4800	78507
4800	79846
4800	82527
4800	76533
4800	76394
4800	74647
4800	80401
4800	77819
4800	82126
4800	83743
4800	78252
4800	82912
4800	78870
4800	79799
4800	77988
4800	77575
4800	80485
6400	387646
6400	389878
6400	387775
6400	394255
6400	387165
6400	389275
6400	387541
6400	389242
6400	390512
6400	386499
6400	376957
6400	381329
6400	376494
6400	380585
6400	376896
6400	378032
6400	377798
6400	378956
6400	374435
6400	377874
400	772
400	744
400	807
400	788
400	789
400	80
400	680
400	727
400	753
400	1200
400	735
400	730
400	721
400	22
400	738
400	734
400	725
400	789
400	725
400	722
800	1415
800	1568
800	1472
800	1645
800	1425
800	1424
800	883
800	1545
800	1445
800	1485
1600	5031
1600	4568
1600	5486
1600	4738
1600	5128
1600	4823
1600	5289
1600	4520
1600	5084
1600	4189
