10000	1229	599
10000	1229	536
10000	1229	595
10000	1229	551
10000	1229	595
10000	1229	569
10000	1229	565
10000	1229	514
10000	1229	506
10000	1229	495
10000	1229	498
10000	1229	497
10000	1229	539
10000	1229	1147
10000	1229	-226
10000	1229	555
100000	9593	1034
100000	9593	1050
100000	9593	1048
100000	9593	1033
100000	9593	1066
100000	9593	1079
100000	9593	1030
100000	9593	1017
100000	9593	1008
100000	9593	1046
100000	9593	1008
100000	9593	1050
1000000	78500	48426
1000000	78500	48332
1000000	78500	48483
1000000	78500	48432
1000000	78500	48615
1000000	78500	47970
1000000	78500	48398
1000000	78500	48448
1000000	78500	48390
1000000	78500	48855
1000000	78500	47767
1000000	78500	48357
